Word,IPA,POS,Definition,Examples
tart,tart,n,"1. sharp to the taste; acid; sour. (of wine) high or too high in acidity. (figuratively) sharp; keen; severe. 2. a delicious type of pie 3. (UK slang) a prostitute. (slang, der.) a woman with loose sexual morals","I ate a very ~ apple: ; you ~: (rude) interjection; pop ~: (AmEn) a fast food toaster pastry; jam ~: (rare) attractive woman; -let: a small tart; -let: (slang, derog.) a promiscuous young woman"
acumen,əˈkjuː.mən,n & f,"The ability to make good judgments and quick decisions, typically in a particular domain.",business ~: shrewd judgment in commercial dealings;political ~: skill in reading and navigating power dynamics;
banal,bəˈnɑːl,adj,So lacking in originality as to be obvious and boring.,~ remark: a comment so predictable it adds nothing;
cacophony,kəˈkɒf.ə.ni,n,"A harsh, discordant mixture of sounds often occurring in busy city environments."
conlang,konlung,n,"a constructed language, a non-naturally occurring language created intentionally by an individual or group","-er:a creator of constructed languages"
deferential,ˌdef.əˈren.ʃəl,adj,Showing respect and humble submission to a higher authority or elder.
ephemeral,ɪˈfem.ər.əl,adj,Lasting for a very short time; transient or fleeting by nature.
furtive,ˈfɜː.tɪv,adj,"Attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble."
garrulous,ˈɡær.əl.əs,adj,"Excessively talkative, especially on trivial matters in social settings."
harangue,həˈræŋ,n,A lengthy and aggressive speech directed at an audience or opponent.
idiosyncrasy,ˌɪd.i.əˈsɪŋ.krə.si,n,A mode of behavior or way of thought peculiar to an individual.
juxtapose,ˌdʒʌk.stəˈpəʊz,v,To place close together or side by side for comparison or contrast.
kinetics,kɪˈnet.ɪks,n,The branch of mechanics that deals with the actions of forces in producing or changing the motion of masses.
laconic,ləˈkɒn.ɪk,adj,Using very few words in writing or speech; concise to the point of seeming rude.
meticulous,məˈtɪk.jə.ləs,adj,Showing great attention to detail; very careful and precise.
nefarious,nɪˈfeə.ri.əs,adj,"Wicked, impious, or criminal; extremely villainous in action."
obfuscate,ˈɒb.fʌs.keɪt,v,"To render obscure, unclear, or unintelligible on purpose."
paradigmatic,ˌpær.ə.dɪɡˈmæt.ɪk,adj,Serving as a typical example or pattern of something; exemplary.
quixotic,kwɪkˈsɒt.ɪk,adj,"Exceedingly idealistic, unrealistic, and impractical."
recalcitrant,rɪˈkæl.sɪ.trənt,adj,Having an obstinately uncooperative attitude toward authority or discipline.
sycophant,ˈsɪk.ə.fænt,n,A person who acts obsequiously toward someone important in order to gain advantage.
taciturn,ˈtæs.ɪ.tɜːn,adj,Reserved or uncommunicative in speech; saying very little.
ubiquitous,juːˈbɪk.wɪ.təs,adj,Present, appearing, or found everywhere at the same time.
venerable,ˈven.ər.ə.bəl,adj,"Accorded a great deal of respect, especially because of age, wisdom, or character."
wistful,ˈwɪst.fəl,adj,Having or showing a feeling of vague or regretful longing.
xenolith,ˈzen.əl.ɪθ,n,A piece of rock within an igneous rock that is not derived from the original magma.
zealot,ˈzel.ət,n,"A person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals."
acumen2,əˈkjuː.mən,n,"The ability to make good judgments and quick decisions, typically in a particular domain. (Variant index series #2 for robust layout testing)."
banal2,bəˈnɑːl,adj,So lacking in originality as to be obvious and boring. (Variant index series #2 for robust layout testing).
cacophony2,kəˈkɒf.ə.ni,n,"A harsh, discordant mixture of sounds often occurring in busy city environments. (Variant index series #2 for robust layout testing)."
deferential2,ˌdef.əˈren.ʃəl,adj,Showing respect and humble submission to a higher authority or elder. (Variant index series #2 for robust layout testing).
ephemeral2,ɪˈfem.ər.əl,adj,Lasting for a very short time; transient or fleeting by nature. (Variant index series #2 for robust layout testing).
furtive2,ˈfɜː.tɪv,adj,"Attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble. (Variant index series #2 for robust layout testing)."
garrulous2,ˈɡær.əl.əs,adj,"Excessively talkative, especially on trivial matters in social settings. (Variant index series #2 for robust layout testing)."
harangue2,həˈræŋ,n,A lengthy and aggressive speech directed at an audience or opponent. (Variant index series #2 for robust layout testing).
idiosyncrasy2,ˌɪd.i.əˈsɪŋ.krə.si,n,A mode of behavior or way of thought peculiar to an individual. (Variant index series #2 for robust layout testing).
juxtapose2,ˌdʒʌk.stəˈpəʊz,v,To place close together or side by side for comparison or contrast. (Variant index series #2 for robust layout testing).
kinetics2,kɪˈnet.ɪks,n,The branch of mechanics that deals with the actions of forces in producing or changing the motion of masses. (Variant index series #2 for robust layout testing).
laconic2,ləˈkɒn.ɪk,adj,Using very few words in writing or speech; concise to the point of seeming rude. (Variant index series #2 for robust layout testing).
meticulous2,məˈtɪk.jə.ləs,adj,Showing great attention to detail; very careful and precise. (Variant index series #2 for robust layout testing).
nefarious2,nɪˈfeə.ri.əs,adj,"Wicked, impious, or criminal; extremely villainous in action. (Variant index series #2 for robust layout testing)."
obfuscate2,ˈɒb.fʌs.keɪt,v,"To render obscure, unclear, or unintelligible on purpose. (Variant index series #2 for robust layout testing)."
